corpus: 7,318,592 bytes -> 7,318,592 tokens (vocab 256)
model: 1,339,840 params
step     1  loss 5.6475  lrm 0.010  (170 ms/step)
step   100  loss 3.0568  lrm 1.000  (148 ms/step)
step   200  loss 2.2046  lrm 1.000  (144 ms/step)
step   300  loss 2.1689  lrm 1.000  (141 ms/step)
step   400  loss 2.1557  lrm 1.000  (137 ms/step)
step   500  loss 2.1354  lrm 1.000  (133 ms/step)
step   600  loss 2.0192  lrm 1.000  (135 ms/step)
step   700  loss 1.9254  lrm 1.000  (135 ms/step)
step   800  loss 1.8544  lrm 1.000  (135 ms/step)
step   900  loss 1.8542  lrm 1.000  (137 ms/step)
step  1000  loss 1.7825  lrm 1.000  (140 ms/step)
step  1100  loss 1.7551  lrm 1.000  (140 ms/step)
step  1200  loss 1.7397  lrm 1.000  (141 ms/step)
step  1300  loss 1.6958  lrm 0.876  (141 ms/step)
step  1400  loss 1.6365  lrm 0.751  (142 ms/step)
step  1500  loss 1.6212  lrm 0.626  (141 ms/step)
step  1600  loss 1.6009  lrm 0.501  (141 ms/step)
step  1700  loss 1.5957  lrm 0.376  (142 ms/step)
step  1800  loss 1.5489  lrm 0.251  (142 ms/step)
step  1900  loss 1.5463  lrm 0.126  (142 ms/step)
step  2000  loss 1.5388  lrm 0.001  (141 ms/step)
saved ckpt.pt  (282s total)
