corpus: 7,318,592 bytes -> 7,318,592 tokens (vocab 256)
model: 1,310,720 params
step     1  loss 5.5650  lrm 0.010  (164 ms/step)
step   100  loss 3.1995  lrm 1.000  (162 ms/step)
step   200  loss 2.0318  lrm 1.000  (162 ms/step)
step   300  loss 1.8325  lrm 1.000  (166 ms/step)
step   400  loss 1.7969  lrm 1.000  (167 ms/step)
step   500  loss 1.7772  lrm 1.000  (170 ms/step)
step   600  loss 1.7305  lrm 1.000  (171 ms/step)
step   700  loss 1.7156  lrm 1.000  (172 ms/step)
step   800  loss 1.6534  lrm 1.000  (171 ms/step)
step   900  loss 1.6338  lrm 1.000  (174 ms/step)
step  1000  loss 1.5938  lrm 1.000  (175 ms/step)
step  1100  loss 1.5744  lrm 1.000  (176 ms/step)
step  1200  loss 1.5700  lrm 1.000  (175 ms/step)
step  1300  loss 1.5799  lrm 0.876  (174 ms/step)
step  1400  loss 1.5173  lrm 0.751  (175 ms/step)
step  1500  loss 1.5056  lrm 0.626  (174 ms/step)
step  1600  loss 1.4276  lrm 0.501  (173 ms/step)
step  1700  loss 1.4579  lrm 0.376  (172 ms/step)
step  1800  loss 1.4132  lrm 0.251  (172 ms/step)
step  1900  loss 1.3885  lrm 0.126  (172 ms/step)
step  2000  loss 1.4265  lrm 0.001  (173 ms/step)
saved ckpt.pt  (346s total)
